Class,Not_Transit-like_False_Positive_Flag,Orbit_Period,Transit_Epoch,Transit_Duration,Transit_Depth,Planetary_Radius,Insolation_Flux,Transit_Signal-to-Noise,Stellar_Surface_Gravity,Stellar_Radius
1,0,16.51410989,176.11686,4.1575,973.5,2.72,43.57,55.9,4.488,0.866
1,0,30.1329298,190.38336,5.172,1015.8,3.14,19.55,44.8,4.488,0.866
1,0,4.79090809,136.31106,2.603,251.3,1.36,227.24,21.2,4.488,0.866
1,0,31.71981013,142.82083,4.819,363.4,3.09,71.97,63.1,4.024,1.626
1,0,99.6415962,198.68664,4.448,952.5,2.64,3.97,22.7,4.488,0.866
1,0,4.708326451,171.446507,3.16114,7912.7,10.6,431.02,633.4,4.246,1.21
0,0,16.37198661,172.75926,3.8449,4147.6,540.37,8.71,54.5,4.656,0.592
1,0,5.392026903,171.72707,2.9804,1151.4,2.68,123.33,77.4,4.589,0.801
1,0,2.494170338,170.852848,1.1221,863.7,2.42,480.19,69.2,4.566,0.829
1,0,6.491682808,174.633553,4.301,7163.3,9.66,301.54,502.3,4.413,1.107
0,0,3.044770796,172.01916,10.0134,1695.0,24.54,317.36,203.5,4.603,0.753
1,0,3.855603916,170.6787843,3.2179,16653.0,13.61,508.65,1173.9,4.46,1.046
0,0,3.855599139,170.67957,3.183,1030.9,3.57,425.74,90.1,4.501,0.965
1,0,38.47876629,151.852812,5.04169,23530.0,13.26,13.01,1077.8,4.539,0.879
0,0,37.601661282,194.713383,8.30604,59130.0,27.22,31.86,1667.3,4.354,1.096
1,0,3.314947362,171.313058,1.8007,1398.2,3.94,421.03,123.5,4.481,0.944
0,0,6.71969089,173.35776,3.0231,969.7,4.37,194.18,45.4,4.479,0.866
1,0,39.6431552,206.596798,6.5292,15664.0,10.98,11.74,690.3,4.455,0.9
0,0,51.42598578,173.535933,16.9422,66068.0,29.66,21.4,1843.8,4.41,1.147
1,0,21.80451611,190.49737,3.4097,1144.9,2.6,20.48,49.9,4.629,0.708
1,0,10.28194593,175.33988,3.4366,1110.7,2.53,50.6,55.0,4.593,0.775
1,0,18.11993039,182.61535,4.2309,1506.9,2.95,23.77,60.7,4.593,0.775
1,0,3.78402867,133.28133,1.9012,426.1,1.7,191.78,25.6,4.593,0.775
1,0,5.15448142,171.6389,3.228,697.5,2.94,204.1,48.1,4.457,0.884
0,1,33.80364366,202.259731,11.4813,13494.0,20.7,72.71,529.9,3.999,1.796
1,0,5.743469797,174.898924,3.4412,1240.2,3.13,219.95,79.7,4.531,0.891
1,0,39.4759093,173.31207,2.968,1012.6,4.06,26.13,26.6,4.45,1.031
0,0,19.974485239,171.6300909,4.23479,40293.0,26.56,56.84,1398.8,4.471,0.997
1,0,3.166353562,170.966145,3.3129,1473.4,3.82,621.92,128.3,4.47,0.998
0,0,23.899634407,188.982797,3.81881,20953.0,44.04,42.8,547.8,4.503,0.924
1,0,3.388012244,170.5336,2.6849,280.1,2.11,705.93,30.6,4.221,1.25
1,0,5.83909761,132.09261,3.1915,273.6,2.06,341.48,25.2,4.221,1.25
1,0,1.620467654,132.06388,2.1888,159.6,1.57,1893.42,22.7,4.221,1.25
1,0,10.6816951,131.55082,3.605,307.8,2.3,152.75,21.9,4.221,1.25
1,0,6.104849417,169.573477,4.6912,2090.3,3.18,89.25,293.7,4.584,0.712
1,0,3.578780566,134.0304187,2.91089,11382.0,10.43,406.6,1838.4,4.421,0.994
0,0,3.187067566,171.64976,3.119,1037.4,23.88,319.76,37.2,4.552,0.811
